,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672920.4456732,-0.01,0.05056117,1.502586e-05,0.19778023332925246,0.0005056117,20.424660950628216,158.9147131873806,0.0,0.0,0.0
1,1590672920.9464738,-0.004965,0.05053627,1.245049e-05,0.09824626946151743,0.00025091258055,20.424660950628216,158.9147131873806,0.0,0.0,0.0
2,1590672921.3648226,7e-05,0.05050785,9.178632e-06,0.001385923178278228,3.5355495e-06,20.424660950628216,158.9147131873806,0.0,0.0,0.0
3,1590672921.7741988,0.005105,0.05051281,1.246626e-05,0.1010634728101644,0.00025786789505,20.352995473608466,158.9147131873806,0.0,0.0,0.0
4,1590672922.1888237,0.01014,0.05047782,6.695379e-06,0.20088030743007523,0.0005118450948,20.424660950628216,158.9147131873806,0.0,0.0,0.0
5,1590672922.6181183,0.015175,0.05047748,1.857128e-05,0.30062911222984984,0.0007659957589999999,20.424660950628216,158.9147131873806,0.0,0.0,0.0
6,1590672923.0248137,0.020215,0.05043833,1.649906e-05,0.400786465372664,0.0010196108409500002,20.352995473608466,158.9147131873806,0.0,0.0,0.0
7,1590672923.4531944,0.02525,0.0504318,2.577927e-05,0.5006761606763986,0.00127340295,20.424660950628216,158.9147131873806,0.0,0.0,0.0
8,1590672923.8475578,0.030285,0.0504041,1.357785e-05,0.6008439789620289,0.0015264881685,20.424660950628216,158.9147131873806,0.0,0.0,0.0
9,1590672924.2762752,0.03532,0.05038279,1.719835e-05,0.7010330313188293,0.0017795201427999998,20.424660950628216,158.9147131873806,0.0,0.0,0.0
10,1590672924.6798928,0.040355,0.05035472,1.132467e-05,0.8014144453588463,0.0020320647256,20.424660950628216,158.9147131873806,0.0,0.0,0.0
11,1590672925.0778093,0.04539,0.05034711,1.427304e-05,0.9015413198493419,0.0022852553229,20.424660950628216,158.9147131873806,0.0,0.0,0.0
12,1590672925.5064418,0.050425,0.05032009,2.570872e-05,1.0020848531868682,0.0025373905382499997,20.424660950628216,158.9147131873806,0.0,0.0,0.0
13,1590672925.9235938,0.05546,0.05022107,2.165977e-05,1.1043173711750864,0.0027852605422,20.352995473608466,158.9147131873806,0.0,0.0,0.0
14,1590672926.350907,0.060495,0.05024771,1.67289e-05,1.2039354629295544,0.00303973521645,20.424660950628216,158.9147131873806,0.0,0.0,0.0
15,1590672926.7551055,0.06553,0.05022528,1.387811e-05,1.3047214470481798,0.0032912625984000002,20.424660950628216,158.9147131873806,0.0,0.0,0.0
16,1590672927.1809864,0.070565,0.05022225,2.583449e-05,1.4050545326025814,0.0035439330712500002,20.424660950628216,158.9147131873806,0.0,0.0,0.0
17,1590672927.593293,0.075605,0.0501949,1.74811e-05,1.506228720447695,0.0037949854145,20.424660950628216,158.9147131873806,0.0,0.0,0.0
18,1590672928.005063,0.08064,0.05014491,1.855813e-05,1.608139290707671,0.0040436855424,20.352995473608466,158.9147131873806,0.0,0.0,0.0
19,1590672928.4086666,0.085675,0.05014098,2.197851e-05,1.708682199669811,0.0042958284615,20.424660950628216,158.9147131873806,0.0,0.0,0.0
20,1590672928.8299026,0.09071,0.05010534,1.202173e-05,1.8103858790300595,0.0045450553914,20.352995473608466,158.9147131873806,0.0,0.0,0.0
21,1590672929.2440197,0.095745,0.05010254,2.286968e-05,1.9109809602467258,0.0047970676923,20.424660950628216,158.9147131873806,0.0,0.0,0.0
22,1590672929.660356,0.10078,0.05004628,1.490688e-05,2.0137360858789104,0.0050436640984,20.352995473608466,158.9147131873806,0.0,0.0,0.0
23,1590672930.122471,0.105815,0.05001954,3.260735e-05,2.115473273044894,0.0052928176251,20.352995473608466,158.9147131873806,0.0,0.0,0.0
24,1590672930.4973679,0.11085,0.05000384,2.18263e-05,2.2168297474753937,0.005542925664000001,20.424660950628216,158.9147131873806,0.0,0.0,0.0
