,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672672.984121,-0.01,0.05080035,7.870725e-06,0.19684903745741908,0.0005080035,21.92963596804293,175.25876669807113,0.0,0.0,0.0
1,1590672673.0859213,-0.004965,0.05077971,2.516868e-05,0.0977752728402742,0.00025212126014999997,21.92963596804293,175.25876669807113,0.0,0.0,0.0
2,1590672673.5134742,7e-05,0.05077407,1.347913e-05,0.00137865646776002,3.5541848999999996e-06,21.92963596804293,175.25876669807113,0.0,0.0,0.0
3,1590672673.931187,0.005105,0.05075912,8.622391e-06,0.10057305958022913,0.0002591253076,21.92963596804293,175.25876669807113,0.0,0.0,0.0
4,1590672674.3418381,0.01014,0.05073062,1.01941e-05,0.19987928395119162,0.0005144084868,21.92963596804293,175.25876669807113,0.0,0.0,0.0
5,1590672674.77945,0.015175,0.0507175,8.041598e-06,0.29920638832750035,0.0007696380625,21.85797049102318,158.9147131873806,0.0,0.0,0.0
6,1590672675.1834133,0.020215,0.05069281,7.903935e-06,0.3987745007625342,0.00102475515415,21.85797049102318,175.25876669807113,0.0,0.0,0.0
7,1590672675.6061916,0.02525,0.05067521,8.408115e-06,0.49827124544723156,0.0012795490525,21.92963596804293,175.25876669807113,0.0,0.0,0.0
8,1590672676.0150504,0.030285,0.0506602,1.016838e-05,0.5978065621533274,0.001534244157,21.92963596804293,175.25876669807113,0.0,0.0,0.0
9,1590672676.4302876,0.03532,0.05065447,2.563534e-05,0.6972731133106318,0.0017891158803999998,21.85797049102318,175.25876669807113,0.0,0.0,0.0
10,1590672676.859461,0.040355,0.05062056,1.040334e-05,0.7972057203634254,0.0020427926988000004,21.92963596804293,175.25876669807113,0.0,0.0,0.0
11,1590672677.280673,0.04539,0.0505972,9.629407e-06,0.8970852142015764,0.002296606908,21.85797049102318,175.25876669807113,0.0,0.0,0.0
12,1590672677.7127192,0.050425,0.05057815,1.844683e-06,0.9969720126180969,0.00255040321375,21.85797049102318,175.25876669807113,0.0,0.0,0.0
13,1590672678.146156,0.05546,0.05056026,9.575439e-06,1.0969089162120607,0.0028040720196000003,21.92963596804293,175.25876669807113,0.0,0.0,0.0
14,1590672678.5611944,0.060495,0.05052123,2.03094e-05,1.197417402545425,0.00305628180885,21.85797049102318,175.25876669807113,0.0,0.0,0.0
15,1590672678.986181,0.06553,0.05050483,7.702733e-06,1.297499664883537,0.0033095815099,21.85797049102318,175.25876669807113,0.0,0.0,0.0
16,1590672679.4166093,0.070565,0.05047847,7.481399e-06,1.3979227183391256,0.00356201323555,21.85797049102318,175.25876669807113,0.0,0.0,0.0
17,1590672679.8467264,0.075605,0.0504442,1.537238e-05,1.4987847958734601,0.0038138337410000005,21.92963596804293,175.25876669807113,0.0,0.0,0.0
18,1590672680.2542183,0.08064,0.05041823,8.306368e-06,1.599421479095954,0.0040657260672,21.92963596804293,175.25876669807113,0.0,0.0,0.0
19,1590672680.6711922,0.085675,0.05039789,5.429083e-06,1.6999719631119476,0.00431783922575,21.85797049102318,175.25876669807113,0.0,0.0,0.0
20,1590672681.0928671,0.09071,0.05037146,8.845287e-06,1.800821338114877,0.0045691951366,21.85797049102318,175.25876669807113,0.0,0.0,0.0
21,1590672681.5081294,0.095745,0.05034194,1.114961e-05,1.9018933318819258,0.0048199890453,21.85797049102318,158.9147131873806,0.0,0.0,0.0
22,1590672681.921267,0.10078,0.05030734,8.296433e-06,2.003286200383483,0.005069973725199999,21.85797049102318,175.25876669807113,0.0,0.0,0.0
23,1590672682.3312564,0.105815,0.05027391,1.182281e-05,2.104769650898448,0.0053197337866500004,21.85797049102318,175.25876669807113,0.0,0.0,0.0
24,1590672682.7512398,0.11085,0.05025549,1.378774e-05,2.20572916511211,0.0055708210665,21.85797049102318,175.25876669807113,0.0,0.0,0.0
