,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672796.6281178,-0.01,0.05068514,6.502669e-06,0.19729648571553715,0.0005068513999999999,21.21298119784545,158.9147131873806,0.0,0.0,0.0
1,1590672797.1235085,-0.004965,0.05065366,5.735964e-06,0.09801858345477897,0.0002514954219,21.21298119784545,175.25876669807113,0.0,0.0,0.0
2,1590672797.549877,7e-05,0.05062291,1.283264e-05,0.001382773135720566,3.5436036999999997e-06,21.21298119784545,158.9147131873806,0.0,0.0,0.0
3,1590672797.9661007,0.005105,0.05063539,9.198819e-06,0.10081881466697501,0.00025849366595,21.141315720825702,158.9147131873806,0.0,0.0,0.0
4,1590672798.3803654,0.01014,0.05060507,6.147968e-06,0.2003751797991782,0.0005131354098,21.21298119784545,158.9147131873806,0.0,0.0,0.0
5,1590672798.7981222,0.015175,0.05057621,7.438156e-06,0.3000422530672029,0.00076749398675,21.21298119784545,158.9147131873806,0.0,0.0,0.0
6,1590672799.2139275,0.020215,0.05055286,8.955994e-06,0.3998784638495231,0.0010219260649,21.141315720825702,158.9147131873806,0.0,0.0,0.0
7,1590672799.6117034,0.02525,0.05054045,6.295198e-06,0.4995998254863184,0.0012761463625,21.141315720825702,158.9147131873806,0.0,0.0,0.0
8,1590672800.0273957,0.030285,0.05051582,4.871566e-06,0.5995151617849616,0.0015298716087,21.141315720825702,158.9147131873806,0.0,0.0,0.0
9,1590672800.4463882,0.03532,0.05049413,8.050184e-06,0.699487247329541,0.0017834526715999998,21.21298119784545,158.9147131873806,0.0,0.0,0.0
10,1590672800.8644779,0.040355,0.05048445,1.392653e-05,0.7993550489309085,0.00203729997975,21.141315720825702,158.9147131873806,0.0,0.0,0.0
11,1590672801.288451,0.04539,0.05044768,4.863251e-06,0.8997440516590653,0.0022898201952,21.141315720825702,158.9147131873806,0.0,0.0,0.0
12,1590672801.7338078,0.050425,0.05041777,1.198588e-05,1.0001434018204296,0.00254231605225,21.141315720825702,158.9147131873806,0.0,0.0,0.0
13,1590672802.1374726,0.05546,0.05041502,1.529808e-05,1.1000689873771745,0.0027960170092,21.069650243805953,158.9147131873806,0.0,0.0,0.0
14,1590672802.5901315,0.060495,0.05037009,1.440201e-05,1.2010103615062033,0.00304713859455,21.069650243805953,158.9147131873806,0.0,0.0,0.0
15,1590672802.9960246,0.06553,0.05034945,1.600209e-05,1.301503790011609,0.0032993994585,21.069650243805953,158.9147131873806,0.0,0.0,0.0
16,1590672803.4249992,0.070565,0.05033102,1.718455e-05,1.4020180795064356,0.0035516084263,21.069650243805953,175.25876669807113,0.0,0.0,0.0
