,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672858.4657044,-0.01,0.05057873,1.265839e-05,0.19771156768863116,0.0005057873,20.782988335726962,158.9147131873806,0.0,0.0,0.0
1,1590672858.987332,-0.004965,0.05056613,2.620858e-06,0.09818825367889533,0.00025106083545,20.639657381687467,158.9147131873806,0.0,0.0,0.0
2,1590672859.4150207,7e-05,0.05056749,5.813206e-06,0.0013842886012337173,3.5397243e-06,20.71132285870721,158.9147131873806,0.0,0.0,0.0
3,1590672859.8283467,0.005105,0.0505401,9.931747e-06,0.10100890184229949,0.0002580072105,20.71132285870721,158.9147131873806,0.0,0.0,0.0
4,1590672860.233294,0.01014,0.05049457,2.367815e-05,0.2008136716482584,0.0005120149398000001,20.71132285870721,158.9147131873806,0.0,0.0,0.0
5,1590672860.626649,0.015175,0.05049308,1.110033e-05,0.3005362318955389,0.000766232489,20.71132285870721,158.9147131873806,0.0,0.0,0.0
6,1590672861.0456038,0.020215,0.05048054,1.27071e-05,0.40045134223999984,0.0010204641161,20.71132285870721,158.9147131873806,0.0,0.0,0.0
7,1590672861.4741812,0.02525,0.05047376,1.107778e-05,0.5002599370445159,0.00127446244,20.639657381687467,158.9147131873806,0.0,0.0,0.0
8,1590672861.8728535,0.030285,0.05043738,1.767089e-05,0.6004475252283128,0.0015274960533,20.639657381687467,158.9147131873806,0.0,0.0,0.0
9,1590672862.284716,0.03532,0.05039068,1.386372e-05,0.7009232659690243,0.0017797988175999998,20.71132285870721,158.9147131873806,0.0,0.0,0.0
10,1590672862.6874504,0.040355,0.05036738,8.067243e-06,0.8012130073075073,0.0020325756199000003,20.71132285870721,158.9147131873806,0.0,0.0,0.0
11,1590672863.1024392,0.04539,0.05038549,1.731852e-05,0.9008545912722096,0.0022869973911,20.639657381687467,158.9147131873806,0.0,0.0,0.0
12,1590672863.5204144,0.050425,0.05036673,1.059224e-05,1.0011569144949453,0.0025397423602499998,20.71132285870721,158.9147131873806,0.0,0.0,0.0
13,1590672863.9815705,0.05546,0.05034121,1.040185e-05,1.101681902361902,0.0027919235065999998,20.71132285870721,158.9147131873806,0.0,0.0,0.0
14,1590672864.35093,0.060495,0.0503085,9.188538e-06,1.2024806941172963,0.0030434127075,20.71132285870721,158.9147131873806,0.0,0.0,0.0
15,1590672864.7709556,0.06553,0.05029114,2.380503e-05,1.3030128169693511,0.0032955784042000003,20.639657381687467,158.9147131873806,0.0,0.0,0.0
16,1590672865.2081928,0.070565,0.05029,2.814422e-05,1.4031616623583218,0.0035487138500000003,20.71132285870721,158.9147131873806,0.0,0.0,0.0
17,1590672865.6224673,0.075605,0.05025017,1.850753e-05,1.5045720243334502,0.00379916410285,20.71132285870721,158.9147131873806,0.0,0.0,0.0
18,1590672866.0342326,0.08064,0.05020959,3.91924e-05,1.6060676854760216,0.0040489013376,20.71132285870721,158.9147131873806,0.0,0.0,0.0
19,1590672866.4567635,0.085675,0.05015285,1.038142e-05,1.7082777947813534,0.00429684542375,20.71132285870721,158.9147131873806,0.0,0.0,0.0
20,1590672866.8934574,0.09071,0.05012564,2.57896e-05,1.8096527046836708,0.0045468968044,20.639657381687467,158.9147131873806,0.0,0.0,0.0
21,1590672867.3153362,0.095745,0.05009119,1.627339e-05,1.9114139632138905,0.00479598098655,20.639657381687467,158.9147131873806,0.0,0.0,0.0
22,1590672867.7287302,0.10078,0.05008852,2.085251e-05,2.012037888122867,0.0050479210456,20.639657381687467,158.9147131873806,0.0,0.0,0.0
23,1590672868.1437156,0.105815,0.0500631,6.758513e-06,2.1136325956642716,0.0052974269265,20.71132285870721,158.9147131873806,0.0,0.0,0.0
24,1590672868.5642486,0.11085,0.05000987,3.95769e-06,2.2165624505722574,0.0055435940895,20.71132285870721,158.9147131873806,0.0,0.0,0.0
25,1590672869.0140758,0.115885,0.04996704,1.032335e-05,2.3192288356484596,0.0057904304303999996,20.71132285870721,158.9147131873806,0.0,0.0,0.0
26,1590672869.442658,0.12092,0.04992045,1.002112e-05,2.422253805805036,0.006036380813999999,20.71132285870721,158.9147131873806,0.0,0.0,0.0
27,1590672869.8437905,0.125955,0.04992133,9.645891e-06,2.523069798020205,0.006287841120150001,20.71132285870721,158.9147131873806,0.0,0.0,0.0
28,1590672870.2581418,0.130995,0.04989984,7.248415e-06,2.6251587179437847,0.0065366295408,20.71132285870721,158.9147131873806,0.0,0.0,0.0
29,1590672870.6948147,0.13603,0.04986714,5.372837e-06,2.7278484388717703,0.0067834270542,20.639657381687467,158.9147131873806,0.0,0.0,0.0
30,1590672871.0961206,0.141065,0.04981564,1.29702e-05,2.831741196138401,0.0070272432566,20.71132285870721,158.9147131873806,0.0,0.0,0.0
31,1590672871.5021846,0.1461,0.0497837,1.392343e-05,2.9346954927014264,0.007273398570000001,20.71132285870721,158.9147131873806,0.0,0.0,0.0
32,1590672871.9609075,0.151135,0.04974639,6.959895e-06,3.038109901040055,0.00751842065265,20.71132285870721,158.9147131873806,0.0,0.0,0.0
33,1590672872.3939571,0.15617,0.04967556,1.336165e-05,3.143799486105441,0.0077578322052,20.782988335726962,158.9147131873806,0.0,0.0,0.0
34,1590672872.8247647,0.161205,0.04965858,1.55644e-05,3.2462668082736155,0.008005211388899999,20.71132285870721,158.9147131873806,0.0,0.0,0.0
35,1590672873.2341657,0.16624,0.04960313,9.240161e-06,3.351401413580151,0.0082460243312,20.71132285870721,158.9147131873806,0.0,0.0,0.0
36,1590672873.6588,0.171275,0.04957346,1.046109e-05,3.4549736895508203,0.0084906943615,20.71132285870721,158.9147131873806,0.0,0.0,0.0
37,1590672874.0812244,0.17631,0.04951753,7.414601e-06,3.560557241041708,0.0087304357143,20.71132285870721,158.9147131873806,0.0,0.0,0.0
38,1590672874.5454056,0.18135,0.04948394,1.796006e-05,3.6648253958759147,0.008973912519,20.71132285870721,158.9147131873806,0.0,0.0,0.0
39,1590672874.920138,0.186385,0.04940573,1.656784e-05,3.772538124626435,0.00920848698605,20.782988335726962,158.9147131873806,0.0,0.0,0.0
40,1590672875.3476863,0.19142,0.0493734,3.463593e-06,3.876986393483131,0.009451056228,20.71132285870721,158.9147131873806,0.0,0.0,0.0
41,1590672875.7564044,0.196455,0.04931646,1.154519e-05,3.98355843059295,0.0096884651493,20.71132285870721,158.9147131873806,0.0,0.0,0.0
42,1590672876.1552622,0.20149,0.04927579,8.678546e-06,4.089026274363131,0.0099285789271,20.639657381687467,158.9147131873806,0.0,0.0,0.0
