,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672423.6152587,-0.01,0.05119015,6.210143e-06,0.19535008199819692,0.0005119015,23.506276462477388,193.11858633023502,0.0,0.0,0.0
1,1590672424.1189022,-0.004965,0.05117916,3.275031e-06,0.0970121432239216,0.00025410452939999997,23.43461098545764,193.11858633023502,0.0,0.0,0.0
2,1590672424.5604,7e-05,0.05115999,6.46927e-06,0.00136825671779842,3.5811992999999997e-06,23.506276462477388,193.11858633023502,0.0,0.0,0.0
3,1590672424.9616115,0.005105,0.0511339,9.031444e-06,0.09983592098392652,0.00026103855950000004,23.43461098545764,193.11858633023502,0.0,0.0,0.0
4,1590672425.3686495,0.01014,0.05114633,2.806048e-05,0.19825469393405157,0.0005186237861999999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
5,1590672425.7795248,0.015175,0.05109683,9.761161e-06,0.29698515543919257,0.00077539439525,23.36294550843789,193.11858633023502,0.0,0.0,0.0
6,1590672426.2039995,0.020215,0.05108477,8.034267e-06,0.39571480893424793,0.00103267862555,23.43461098545764,193.11858633023502,0.0,0.0,0.0
7,1590672426.6232991,0.02525,0.0510559,6.151708e-06,0.49455596708705557,0.001289161475,23.36294550843789,193.11858633023502,0.0,0.0,0.0
8,1590672427.0474715,0.030285,0.05103028,7.646128e-06,0.593471170450172,0.0015454520297999998,23.36294550843789,193.11858633023502,0.0,0.0,0.0
9,1590672427.4668467,0.03532,0.05104535,3.23272e-05,0.6919337412712421,0.001802921762,23.36294550843789,193.11858633023502,0.0,0.0,0.0
10,1590672427.8718748,0.040355,0.0509887,1.547228e-06,0.7914498702653726,0.0020576489885,23.36294550843789,193.11858633023502,0.0,0.0,0.0
11,1590672428.2804193,0.04539,0.05096664,8.61604e-06,0.8905825457593437,0.0023133757896,23.43461098545764,193.11858633023502,0.0,0.0,0.0
12,1590672428.7399416,0.050425,0.05094784,7.830691e-06,0.9897377396176167,0.002569044832,23.36294550843789,193.11858633023502,0.0,0.0,0.0
13,1590672429.1786764,0.05546,0.05091242,3.580375e-06,1.0893216232895628,0.0028236028132,23.36294550843789,193.11858633023502,0.0,0.0,0.0
14,1590672429.5884976,0.060495,0.05091294,2.630649e-05,1.1882048060866257,0.0030799783053,23.43461098545764,193.11858633023502,0.0,0.0,0.0
15,1590672430.0149584,0.06553,0.0508572,8.539728e-06,1.2885097881912493,0.003332672316,23.43461098545764,193.11858633023502,0.0,0.0,0.0
16,1590672430.4222457,0.070565,0.05084205,7.520603e-06,1.3879259392569734,0.0035876692582500003,23.36294550843789,193.11858633023502,0.0,0.0,0.0
17,1590672430.851341,0.075605,0.05080639,5.30255e-06,1.4881002173151843,0.00384121711595,23.43461098545764,193.11858633023502,0.0,0.0,0.0
18,1590672431.2603955,0.08064,0.05078238,5.136425e-06,1.5879523567032503,0.0040950911232,23.43461098545764,193.11858633023502,0.0,0.0,0.0
19,1590672431.6728563,0.085675,0.05077106,3.284389e-05,1.6874770784773845,0.0043498105655,23.43461098545764,193.11858633023502,0.0,0.0,0.0
20,1590672432.0905225,0.09071,0.05072204,8.533092e-06,1.7883744423528705,0.004600996248400001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
21,1590672432.5055873,0.095745,0.05069163,5.622933e-06,1.8887733537075055,0.00485347011435,23.43461098545764,193.11858633023502,0.0,0.0,0.0
22,1590672432.942953,0.10078,0.05065905,7.410088e-06,1.9893780084703523,0.005105419058999999,23.43461098545764,193.11858633023502,0.0,0.0,0.0
23,1590672433.354906,0.105815,0.05062462,9.393209e-06,2.0901885288225373,0.005356844165300001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
24,1590672433.7649856,0.11085,0.05061203,2.52844e-05,2.190190751092181,0.0056103435255000006,23.291280031418143,193.11858633023502,0.0,0.0,0.0
25,1590672434.1979315,0.115885,0.0505552,8.596424e-06,2.292246890527582,0.005858589352,23.36294550843789,193.11858633023502,0.0,0.0,0.0
26,1590672434.6430182,0.12092,0.05052079,7.02657e-06,2.3934700941929052,0.006108973926800001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
27,1590672435.0618718,0.125955,0.05047821,5.118841e-06,2.495235072717515,0.006357982940550001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
28,1590672435.465901,0.130995,0.05044449,9.019493e-06,2.596814835475589,0.0066079759675500005,23.36294550843789,193.11858633023502,0.0,0.0,0.0
29,1590672435.8796723,0.13603,0.0503824,2.15988e-05,2.6999507764616215,0.006853517872000001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
30,1590672436.3295765,0.141065,0.05036838,7.894734e-06,2.80066581454476,0.007105215524699999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
31,1590672436.7588508,0.1461,0.05032393,9.677723e-06,2.903191384297689,0.007352326173000001,23.291280031418143,193.11858633023502,0.0,0.0,0.0
32,1590672437.1761427,0.151135,0.05027823,7.448678e-06,3.0059729628509197,0.007598800291049999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
33,1590672437.6454911,0.15617,0.05023235,2.737524e-06,3.1089526968178873,0.0078447860995,23.36294550843789,193.11858633023502,0.0,0.0,0.0
34,1590672438.0430262,0.161205,0.05018415,1.399224e-05,3.2122692124903978,0.008089935900749998,23.291280031418143,193.11858633023502,0.0,0.0,0.0
35,1590672438.4494421,0.16624,0.05014211,5.282754e-06,3.3153770353900147,0.008335624366399999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
36,1590672438.869448,0.171275,0.0500934,7.443395e-06,3.4191130967352983,0.008579747085,23.36294550843789,193.11858633023502,0.0,0.0,0.0
37,1590672439.2904255,0.17631,0.05004469,7.707054e-06,3.523051096929564,0.0088233792939,23.36294550843789,193.11858633023502,0.0,0.0,0.0
38,1590672439.7109687,0.18135,0.04999487,8.798826e-06,3.627372168384477,0.0090665696745,23.36294550843789,193.11858633023502,0.0,0.0,0.0
39,1590672440.1325102,0.186385,0.04993773,1.128086e-05,3.7323482665311376,0.00930764380605,23.291280031418143,193.11858633023502,0.0,0.0,0.0
40,1590672440.5529325,0.19142,0.04988808,3.07244e-06,3.836988715540867,0.009549576273600001,23.36294550843789,193.11858633023502,0.0,0.0,0.0
41,1590672440.9911044,0.196455,0.04982916,7.239571e-06,3.942570976512548,0.009789187627799999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
42,1590672441.4333851,0.20149,0.04976219,7.243422e-06,4.049058130279234,0.010026583663099999,23.36294550843789,193.11858633023502,0.0,0.0,0.0
43,1590672441.8394682,0.206525,0.0496967,1.251502e-05,4.155708527930425,0.0102636109675,23.291280031418143,193.11858633023502,0.0,0.0,0.0
44,1590672442.2487798,0.21155,0.04963621,6.058771e-06,4.262009528930593,0.0105005402255,23.36294550843789,193.11858633023502,0.0,0.0,0.0
45,1590672442.657669,0.2166,0.04956936,1.187869e-05,4.369634790523824,0.010736723375999999,23.291280031418143,193.11858633023502,0.0,0.0,0.0
46,1590672443.0714722,0.22165,0.04950375,6.455969e-06,4.477438577885514,0.0109725061875,23.291280031418143,193.11858633023502,0.0,0.0,0.0
47,1590672443.4849756,0.22665,0.04942309,6.512908e-06,4.585913183493788,0.0112017433485,23.36294550843789,193.11858633023502,0.0,0.0,0.0
48,1590672443.9514902,0.2317,0.04935909,6.219756e-06,4.694170820410181,0.011436501153,23.291280031418143,193.11858633023502,0.0,0.0,0.0
49,1590672444.3634403,0.23675,0.04926913,9.819524e-06,4.805240116884548,0.0116644665275,23.36294550843789,193.11858633023502,0.0,0.0,0.0
50,1590672444.7710454,0.24175,0.04919475,1.762911e-06,4.914142261115261,0.0118928308125,23.291280031418143,193.11858633023502,0.0,0.0,0.0
51,1590672445.1788957,0.2468,0.04910797,2.934262e-06,5.025660804142382,0.012119846996,23.291280031418143,193.11858633023502,0.0,0.0,0.0
52,1590672445.5808296,0.25185,0.04901945,4.199961e-06,5.137756543576071,0.012345548482500001,23.291280031418143,193.11858633023502,0.0,0.0,0.0
53,1590672445.976443,0.2569,0.04892966,8.9333e-06,5.250394137216568,0.012570029654000002,23.291280031418143,193.11858633023502,0.0,0.0,0.0
54,1590672446.425956,0.2619,0.04882137,1.090534e-05,5.364454131459236,0.012786316803000002,23.291280031418143,193.11858633023502,0.0,0.0,0.0
55,1590672446.8503199,0.26695,0.04872677,7.34516e-06,5.478508015203963,0.013007611251500002,23.291280031418143,193.11858633023502,0.0,0.0,0.0
