,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672238.4245203,-0.01,0.05171412,1.944915e-05,0.19337078538704708,0.0005171412,24.43792766373411,233.89681678766735,0.0,0.0,0.0
1,1590672238.5541031,-0.004965,0.05168376,5.039815e-06,0.09606499217549187,0.0002566098684,24.43792766373411,233.89681678766735,0.0,0.0,0.0
2,1590672238.964169,7e-05,0.05166998,5.059296e-06,0.0013547518307535633,3.6168985999999996e-06,24.43792766373411,233.89681678766735,0.0,0.0,0.0
3,1590672239.3923662,0.005105,0.05164867,3.325888e-06,0.09884088012334102,0.00026366646035,24.43792766373411,233.89681678766735,0.0,0.0,0.0
4,1590672239.7948594,0.01014,0.05163695,6.851759e-06,0.1963710095193461,0.000523598673,24.509593140753857,233.89681678766735,0.0,0.0,0.0
5,1590672240.2158043,0.015175,0.0516263,7.992762e-06,0.29393932937281964,0.0007834291025,24.43792766373411,233.89681678766735,0.0,0.0,0.0
6,1590672240.6862824,0.020215,0.0515895,2.953942e-06,0.39184330144699986,0.0010428817425000001,24.366262186714362,233.89681678766735,0.0,0.0,0.0
7,1590672241.0633152,0.02525,0.05157723,4.930531e-06,0.4895571165803204,0.0013023250575000002,24.43792766373411,233.89681678766735,0.0,0.0,0.0
8,1590672241.4799018,0.030285,0.05155335,6.549342e-06,0.5874497001649748,0.00156129320475,24.43792766373411,233.89681678766735,0.0,0.0,0.0
9,1590672241.8899066,0.03532,0.05153168,7.07068e-06,0.6854036196762845,0.0018200989376,24.366262186714362,233.89681678766735,0.0,0.0,0.0
10,1590672242.3522441,0.040355,0.05152899,1.260509e-05,0.7831513872094137,0.00207945239145,24.43792766373411,233.89681678766735,0.0,0.0,0.0
11,1590672242.7439702,0.04539,0.05148616,4.906935e-06,0.8815961415650341,0.0023369568024,24.43792766373411,233.89681678766735,0.0,0.0,0.0
12,1590672243.1488445,0.050425,0.05147146,3.53589e-06,0.9796691214898509,0.0025954483705,24.43792766373411,233.89681678766735,0.0,0.0,0.0
13,1590672243.5895958,0.05546,0.05144462,7.89132e-06,1.0780524766243778,0.0028531186252000003,24.43792766373411,233.89681678766735,0.0,0.0,0.0
14,1590672244.0366547,0.060495,0.05142163,1.535822e-05,1.1764504547988852,0.00311075150685,24.43792766373411,233.89681678766735,0.0,0.0,0.0
15,1590672244.4562795,0.06553,0.0514007,1.38712e-05,1.274885361483404,0.003368287871,24.43792766373411,233.89681678766735,0.0,0.0,0.0
16,1590672244.8564842,0.070565,0.05136779,8.251341e-06,1.3737207693770745,0.0036247681013500004,24.43792766373411,233.89681678766735,0.0,0.0,0.0
17,1590672245.2896345,0.075605,0.05135151,5.137446e-06,1.4723033460943993,0.0038824309135500005,24.366262186714362,233.89681678766735,0.0,0.0,0.0
18,1590672245.7101896,0.08064,0.05131166,4.56223e-06,1.5715726211157464,0.004137772262400001,24.43792766373411,233.89681678766735,0.0,0.0,0.0
19,1590672246.127789,0.085675,0.0512811,5.284018e-06,1.6706934913642648,0.0043935082425,24.43792766373411,233.89681678766735,0.0,0.0,0.0
20,1590672246.555684,0.09071,0.0512573,4.766913e-06,1.7696991452924755,0.004649549683,24.43792766373411,233.89681678766735,0.0,0.0,0.0
21,1590672246.9657955,0.095745,0.05122141,8.19701e-06,1.8692378831430059,0.00490419390045,24.366262186714362,233.89681678766735,0.0,0.0,0.0
22,1590672247.3773413,0.10078,0.05119236,8.36284e-06,1.9686531349599823,0.005159166040799999,24.366262186714362,233.89681678766735,0.0,0.0,0.0
23,1590672247.8002431,0.105815,0.0511529,3.780341e-06,2.0686021711379023,0.005412744113500001,24.366262186714362,233.89681678766735,0.0,0.0,0.0
24,1590672248.2427204,0.11085,0.05111543,7.88225e-06,2.1686210993431922,0.005666145415500001,24.366262186714362,233.89681678766735,0.0,0.0,0.0
25,1590672248.6808589,0.115885,0.05108779,5.807467e-06,2.2683502261499275,0.00592030854415,24.43792766373411,233.89681678766735,0.0,0.0,0.0
26,1590672249.0563931,0.12092,0.05104806,7.818915e-06,2.368748195328089,0.0061727314152,24.366262186714362,233.89681678766735,0.0,0.0,0.0
