,Time (s),Voltage (V),Current (A),Current Std (A),Resistance (Ohm),Power (W),Temperature (C),Power 1 (W/m2),Power 2 (W/m2),Power 3 (W/m2),Power 4 (W/m2)
0,1590672485.6344395,-0.01,0.05105084,6.747136e-06,0.19588316274521633,0.0005105084,23.0762836003589,193.11858633023502,0.0,0.0,0.0
1,1590672486.1217856,-0.004965,0.05104633,7.910502e-06,0.0972645829778556,0.00025344502845,23.0762836003589,193.11858633023502,0.0,0.0,0.0
2,1590672486.539583,7e-05,0.05101215,1.425103e-05,0.0013722221078703797,3.5708504999999996e-06,23.00461812333915,193.11858633023502,0.0,0.0,0.0
3,1590672486.9422414,0.005105,0.05101185,2.176023e-06,0.10007478654469501,0.00026041549425,23.00461812333915,175.25876669807113,0.0,0.0,0.0
4,1590672487.395124,0.01014,0.05099998,3.26721e-06,0.19882360738180682,0.0005171397972,23.00461812333915,193.11858633023502,0.0,0.0,0.0
5,1590672487.8205032,0.015175,0.05096855,8.002869e-06,0.29773262139103424,0.00077344774625,23.0762836003589,175.25876669807113,0.0,0.0,0.0
6,1590672488.258237,0.020215,0.05096259,2.966063e-06,0.396663513373241,0.0010302087568500001,23.00461812333915,193.11858633023502,0.0,0.0,0.0
7,1590672488.6986308,0.02525,0.05093088,1.103516e-05,0.4957699533171232,0.00128600472,23.00461812333915,175.25876669807113,0.0,0.0,0.0
8,1590672489.1124907,0.030285,0.0509112,8.848615e-06,0.5948592844010748,0.0015418456919999999,23.0762836003589,193.11858633023502,0.0,0.0,0.0
9,1590672489.5343997,0.03532,0.05087539,1.053939e-05,0.694245292271961,0.0017969187747999998,23.00461812333915,193.11858633023502,0.0,0.0,0.0
10,1590672489.9496317,0.040355,0.05086231,4.983679e-06,0.7934165789953308,0.00205254852005,22.932952646319404,193.11858633023502,0.0,0.0,0.0
11,1590672490.3520117,0.04539,0.05084216,5.143911e-06,0.8927630140025522,0.0023077256424,22.932952646319404,193.11858633023502,0.0,0.0,0.0
12,1590672490.7984107,0.050425,0.05081849,7.440475e-06,0.9922569521447803,0.0025625223582499998,23.00461812333915,193.11858633023502,0.0,0.0,0.0
13,1590672491.1835363,0.05546,0.05079777,5.093275e-06,1.0917802100367793,0.0028172443242,23.0762836003589,175.25876669807113,0.0,0.0,0.0
14,1590672491.6123648,0.060495,0.05077557,3.042382e-06,1.1914194168573589,0.00307166810715,23.00461812333915,175.25876669807113,0.0,0.0,0.0
